scenario,region,variables,unit,2022,2025,2030,2035,2040,2045,2050
NZE,CHA,Electricity|Alu|Hydro,%,0.192,0.249,0.208,0.17,0.158,0.156,0.156
NZE,CHA,Electricity|Alu|Coal,%,0.745,0.393,0.041,0,0,0,0
NZE,CHA,Electricity|Alu|Natural Gas,%,0,0.021,0.02,0.01,0.004,0.001,0
NZE,CHA,Electricity|Alu|Nuclear,%,0.006,0.035,0.054,0.055,0.059,0.061,0.062
NZE,CHA,Electricity|Alu|Wind,%,0.027,0.119,0.23,0.269,0.28,0.281,0.282
NZE,CHA,Electricity|Alu|Solar,%,0.03,0.184,0.447,0.494,0.496,0.496,0.492
NZE,CHA,Electricity|Alu|Hydrogen,%,0,0,0,0.002,0.002,0.003,0.005
NZE,CAZ,Production|Aluminium|Liquid,ton,1,1,1,1,1,1,1
NZE,CAZ,Efficiency|Smelting,%,1,1,1,1,1,1,1
NZE,CHA,Production|Aluminium|Liquid,ton,1,1,1,1,1,1,1
NZE,CHA,Efficiency|Smelting,%,1,1.008,1.023,1.038,1.053,1.069,1.085
NZE,EUR,Production|Aluminium|Liquid,ton,1,1,1,1,1,1,1
NZE,EUR,Efficiency|Smelting,%,1,1,1,1,1,1,1
NZE,IND,Production|Aluminium|Liquid,ton,1,1,1,1,1,1,1
NZE,IND,Efficiency|Smelting,%,1,1,1,1,1,1,1
NZE,JPN,Production|Aluminium|Liquid,ton,1,1,1,1,1,1,1
NZE,JPN,Efficiency|Smelting,%,1,1,1,1,1,1,1
NZE,LAM,Production|Aluminium|Liquid,ton,1,1,1,1,1,1,1
NZE,LAM,Efficiency|Smelting,%,1,1,1,1,1,1,1
NZE,MEA,Production|Aluminium|Liquid,ton,1,1,1,1,1,1,1
NZE,MEA,Efficiency|Smelting,%,1,1,1,1,1,1,1
NZE,NEU,Production|Aluminium|Liquid,ton,1,1,1,1,1,1,1
NZE,NEU,Efficiency|Smelting,%,1,1,1,1,1,1,1
NZE,OAS,Production|Aluminium|Liquid,ton,1,1,1,1,1,1,1
NZE,OAS,Efficiency|Smelting,%,1,1,1,1,1,1,1
NZE,REF,Production|Aluminium|Liquid,ton,1,1,1,1,1,1,1
NZE,REF,Efficiency|Smelting,%,1,1,1,1,1,1,1
NZE,SSA,Production|Aluminium|Liquid,ton,1,1,1,1,1,1,1
NZE,SSA,Efficiency|Smelting,%,1,1,1,1,1,1,1
NZE,USA,Production|Aluminium|Liquid,ton,1,1,1,1,1,1,1
NZE,USA,Efficiency|Smelting,%,1,1,1,1,1,1,1
NZE,World,Production|Aluminium|Liquid,ton,1,1,1,1,1,1,1
NZE,World,Efficiency|Smelting,%,1,1,1,1,1,1,1
NZE,CAZ,Production|Alu|Primary,ton,0.02,0.019,0.018,0.017,0.017,0.016,0.015
NZE,CHA,Production|Alu|Primary,ton,0.411,0.391,0.372,0.359,0.346,0.327,0.314
NZE,EUR,Production|Alu|Primary,ton,0.039,0.037,0.035,0.034,0.032,0.031,0.029
NZE,LAM,Production|Alu|Primary,ton,0.012,0.012,0.011,0.011,0.01,0.01,0.009
NZE,MEA,Production|Alu|Primary,ton,0.066,0.063,0.06,0.058,0.056,0.053,0.051
NZE,OAS,Production|Alu|Primary,ton,0.052,0.049,0.047,0.045,0.044,0.041,0.04
NZE,USA,Production|Alu|Primary,ton,0.041,0.039,0.037,0.036,0.035,0.033,0.031
NZE,CHA,Production|Alu|Secondary Old,ton,0.056,0.085,0.097,0.104,0.112,0.123,0.131
NZE,EUR,Production|Alu|Secondary Old,ton,0.041,0.037,0.042,0.045,0.049,0.054,0.057
